Metric,Value
Total Requests Generated,69696.0
Total Requests Completed,69670.0
Total Requests Timed Out,0.0
Remaining in Queue,26.0
LOW - Avg Response Time,5.219152841860113
LOW - Max Response Time,144.11416368305026
HIGH - Avg Response Time,0.13113581867692645
HIGH - Max Response Time,16.502927250643104
MEDIUM - Avg Response Time,0.8808319890599522
MEDIUM - Max Response Time,49.10955617972974
LOW - Avg Wait Time,5.120919263995267
HIGH - Avg Wait Time,0.0454183459804995
MEDIUM - Avg Wait Time,0.8010472210447497
ANALYTICS - Avg Response Time (type),5.137635824108828
NAVIGATION - Avg Response Time (type),0.14602975202131938
LOGIN - Avg Response Time (type),0.09183956324708287
ADD_TO_CART - Avg Response Time (type),0.8808319890599522
CHECKOUT - Avg Response Time (type),5.632440082834645
ANALYTICS - Avg Wait Time (type),5.1176911778596335
NAVIGATION - Avg Wait Time (type),0.04670615852020994
LOGIN - Avg Wait Time (type),0.042020572582697334
ADD_TO_CART - Avg Wait Time (type),0.8010472210447497
CHECKOUT - Avg Wait Time (type),5.137285500756957
