Metric,Value
Total Requests Generated,10130.0
Total Requests Completed,4343.0
Total Requests Timed Out,5664.0
Remaining in Queue,123.0
LOW - Avg Response Time,1.4094976683699938
LOW - Max Response Time,5.010943020634045
HIGH - Avg Response Time,0.3542701580413154
HIGH - Max Response Time,10.30247793578883
MEDIUM - Avg Response Time,0.4536234343599291
MEDIUM - Max Response Time,3.132356566146669
LOW - Avg Wait Time,1.388374060349664
HIGH - Avg Wait Time,0.2141237768383484
MEDIUM - Avg Wait Time,0.38782219751073976
ANALYTICS - Avg Response Time (type),1.4094976683699938
NAVIGATION - Avg Response Time (type),0.25721346706986625
LOGIN - Avg Response Time (type),0.2705961980957199
ADD_TO_CART - Avg Response Time (type),0.6631038258654497
CHECKOUT - Avg Response Time (type),1.3154539435531292
ANALYTICS - Avg Wait Time (type),1.388374060349664
NAVIGATION - Avg Wait Time (type),0.15657119286557686
LOGIN - Avg Wait Time (type),0.22027309906096856
ADD_TO_CART - Avg Wait Time (type),0.5795873765958295
CHECKOUT - Avg Wait Time (type),0.7840856205324424
HIGH - P_loss,0.2277564921243082
LOW - P_loss,0.9006013441811107
MEDIUM - P_loss,0.7861804222648753
LOGIN - P_loss (type),0.8190240889437924
NAVIGATION - P_loss (type),0.24050046339202966
ADD_TO_CART - P_loss (type),0.7382413087934561
ANALYTICS - P_loss (type),0.9322592456975467
CHECKOUT - P_loss (type),0.0881542699724518
