Metric,Value
Total Requests Generated,99768.0
Total Requests Served,91152.0
Total Requests Timed Out,8500.0
ANALYTICS - Avg Response Time,0.8710010799021233
ANALYTICS - Max Response Time,3.304700905770466
NAVIGATION - Avg Response Time,0.9071863011397152
NAVIGATION - Max Response Time,2.839741069479828
LOGIN - Avg Response Time,0.8556520642635301
LOGIN - Max Response Time,1.1397502082246262
ADD_TO_CART - Avg Response Time,0.9200684582632209
ADD_TO_CART - Max Response Time,3.074670065534883
CHECKOUT - Avg Response Time,1.3269555757675202
CHECKOUT - Max Response Time,5.591863725884281
ANALYTICS - Avg Wait Time,0.8510981110738974
NAVIGATION - Avg Wait Time,0.8070025951480189
LOGIN - Avg Wait Time,0.805374865875207
ADD_TO_CART - Avg Wait Time,0.8390202051657758
CHECKOUT - Avg Wait Time,0.835805800437781
NAVIGATION - P_loss,0.1471058217462854
ANALYTICS - P_loss,0.0
LOGIN - P_loss,0.14865556978233035
ADD_TO_CART - P_loss,0.0008352125615969264
CHECKOUT - P_loss,0.0
