Metric,Value
Total Requests Generated,15062.0
Total Requests Completed,15042.0
NAVIGATION - Avg Response Time,0.12357432790667218
ANALYTICS - Avg Response Time,0.0434151530967026
LOGIN - Avg Response Time,0.07771831003923486
CHECKOUT - Avg Response Time,0.5197227156621331
ADD_TO_CART - Avg Response Time,0.105262731352609
NAVIGATION - Avg Wait Time,0.02268178282977976
ANALYTICS - Avg Wait Time,0.02283596519184409
LOGIN - Avg Wait Time,0.026867604382023572
CHECKOUT - Avg Wait Time,0.03077699673986992
ADD_TO_CART - Avg Wait Time,0.02496336730665928
